id,em,name,code
368,409486,Инв-Девел,IDVP
369,20516,ИнтерРАОао,IRAO
370,9,ИркЭнерго,IRGZ
371,15544,КАМАЗ,KMAZ
372,17359,КЗМС ао,KZMS
373,22525,КМЗ,KMEZ
374,16284,КСБ ао,KTSB
375,16285,КСБ ап,KTSBP
376,81943,КУЗОЦМ ао,KUNF
377,16329,КалужскСК,KLSB
378,20030,КамчатЭ ао,KCHE
379,20498,КамчатЭ ап,KCHEP
380,18310,Квадра,TGKD
381,18391,Квадра-п,TGKDP
382,75094,Кокс ао,KSGR
383,20710,КоршГОК ао,KOGK
384,81903,КосогМЗ ао,KMTZ
385,511,КрасОкт-1п,KROTP
386,510,КрасОкт-ао,KROT
387,20912,Красэсб ао,KRSB
388,20913,Красэсб ап,KRSBP
389,83165,КузнецкийБ,KUZB
390,81941,Куйбазот,KAZT
391,81942,Куйбазот-п,KAZTP
392,83261,КурганГКао,KGKC
393,152350,КурганГКап,KGKCP
394,19736,ЛСР ао,LSRG
395,8,ЛУКОЙЛ,LKOH
396,16276,ЛЭСК ао,LPSB
397,152517,Левенгук,LVHK
398,22094,Лензол. ап,LNZLP
399,21004,Лензолото,LNZL
400,385792,Лента др,LNTA
401,19737,М.видео,MVID
402,12983,МГТС-4ап,MGTSP
403,12984,МГТС-5ао,MGTS
404,20947,МЕРИДИАН,MERF
405,420694,МКБ ао,CBOM
406,16782,ММК,MAGN
407,20309,МРСК СЗ,MRKZ
408,20402,МРСК Ур,MRKU
409,20107,МРСК ЦП,MRKP
410,20235,МРСК Центр,MRKC
411,15523,МТС-ао,MTSS
412,74562,МагадЭн ао,MAGE
413,74563,МагадЭн ап,MAGEP
414,17086,Магнит ао,MGNT
415,152516,МегаФон ао,MFON
416,30,Мегион-ао,MFGS
417,51,Мегион-ап,MFGSP
418,20737,Медиахолд,ODVA
419,21018,Мечел ао,MTLR
420,80745,Мечел ап,MTLRP
421,16359,МордЭнСб,MRSB
422,81944,Морион ао,MORI
423,152798,МосБиржа,MOEX
424,82890,МосОблБанк,MOBB
425,74549,Мостотрест,MSTT
426,152676,МультиСис,MSST
427,20100,НКНХ ао,NKNC
428,20101,НКНХ ап,NKNCP
429,450432,НКХП ао,NKHP
430,17046,НЛМК ао,NLMK
431,19629,НМТП ао,NMTP
432,81929,НаукаСвяз,NSVZ
433,81287,Нефтекамск,NFAZ
434,81947,Нижкамшина,NKSH
435,17370,Новатэк ао,NVTK
436,414560,ОВК ао,UWGN
437,18684,ОГК-2 ао,OGKB
438,175781,ОКС ао,UCSS
439,15844,ОМЗ-ап,OMZZP
440,488674,ОР ао,OBUV
441,2423588,ОРГ ао,MOEX.ORUP:TQBR
442,81856,ОргСинт ао,KZOS
443,81857,ОргСинт ап,KZOSP
444,152876,ПАОДжиТиЭл,GTLC
